Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-05-07 17:51:29,false,"Ecatepec de Morelos Running","4.01","312","00:26:05","146","157","162","167","6:30","5:58","20","19","0.95","0.0","4,220","No","00:00:04.0","5","--","--","--","--","--","--","--","--","00:26:04","00:26:05","2,229","2,241"
Running,2025-05-06 07:09:08,false,"Ecatepec de Morelos Running","4.15","316","00:26:46","145","156","166","172","6:27","5:40","15","12","0.93","0.0","4,442","No","00:01:00.6","5","--","--","--","--","--","--","--","--","00:26:39","00:26:46","2,225","2,235"
Running,2025-05-05 07:22:52,false,"Ecatepec de Morelos - Series 4, 4, 3, 2","8.49","632","00:53:04","152","185","157","190","6:15","3:46","28","27","1.00","0.0","8,432","No","00:00:02.6","16","--","--","--","--","--","--","--","--","00:52:45","00:53:04","2,225","2,235"
Running,2025-05-04 06:38:41,false,"Cuauhtémoc Running","5.02","362","00:27:38","163","181","169","244","5:30","4:29","36","40","1.07","0.0","4,664","No","00:00:05.0","6","--","--","--","--","--","--","--","--","00:27:37","00:27:38","2,237","2,277"
Running,2025-05-03 07:02:08,false,"Ecatepec de Morelos Running","4.21","320","00:27:01","145","158","165","171","6:25","5:07","9","8","0.95","0.0","4,454","No","00:01:24.9","5","--","--","--","--","--","--","--","--","00:26:59","00:27:01","2,225","2,236"
Running,2025-05-02 07:23:55,false,"Ecatepec de Morelos Running","4.16","315","00:27:16","143","156","165","171","6:33","5:45","20","18","0.93","0.0","4,482","No","00:01:03.1","5","--","--","--","--","--","--","--","--","00:27:10","00:27:16","2,225","2,235"
Running,2025-05-01 07:16:06,false,"Ecatepec de Morelos Running","4.17","308","00:27:00","143","160","165","169","6:28","5:51","7","7","0.94","0.0","4,438","No","00:01:09.4","5","--","--","--","--","--","--","--","--","00:26:58","00:27:00","2,225","2,235"
Running,2025-04-27 07:28:30,false,"Ecatepec de Morelos Running","9.24","674","01:00:03","144","156","168","198","6:30","4:08","28","26","0.92","0.0","10,052","No","00:01:28.8","10","--","--","--","--","--","--","--","--","00:59:56","01:00:03","2,225","2,236"
Running,2025-04-26 07:35:04,false,"Ecatepec de Morelos - Series a umbral","8.80","635","00:54:21","149","177","160","183","6:11","4:19","36","36","0.99","0.0","8,878","No","00:00:01.5","14","--","--","--","--","--","--","--","--","00:53:43","00:54:21","2,225","2,235"
Running,2025-04-25 07:01:25,false,"Ecatepec de Morelos Running","3.66","276","00:23:29","144","155","165","172","6:24","6:03","21","20","0.95","0.0","3,894","No","00:04:17.8","4","--","--","--","--","--","--","--","--","00:23:28","00:23:29","2,226","2,235"
Running,2025-04-24 07:21:21,false,"Ecatepec de Morelos Running","3.92","298","00:26:11","140","157","163","173","6:41","6:10","13","12","0.92","0.0","4,280","No","00:05:58.3","4","--","--","--","--","--","--","--","--","00:26:04","00:26:11","2,225","2,241"
Running,2025-04-22 07:35:39,false,"Ecatepec de Morelos - Series 4, 3, 2, 2","7.52","577","00:50:01","150","179","152","191","6:39","3:43","10","10","0.97","0.0","7,730","No","00:00:01.1","15","--","--","--","--","--","--","--","--","00:47:56","00:50:01","2,225","2,235"
Running,2025-04-17 07:08:05,false,"Ecatepec de Morelos - Series a umbral","8.83","657","00:54:36","154","179","162","204","6:11","4:20","29","28","0.99","0.0","8,982","No","00:00:02.4","14","--","--","--","--","--","--","--","--","00:53:45","00:54:36","2,225","2,236"
Running,2025-04-16 07:15:45,false,"Ecatepec de Morelos Running","4.73","353","00:30:04","141","155","168","174","6:21","6:00","30","30","0.94","0.0","5,054","No","00:04:40.4","5","--","--","--","--","--","--","--","--","00:30:03","00:30:04","2,229","2,242"
Running,2025-04-15 07:03:39,false,"Ecatepec de Morelos Running","4.67","358","00:30:17","144","161","167","175","6:29","5:34","17","18","0.92","0.0","5,082","No","00:04:21.7","5","--","--","--","--","--","--","--","--","00:30:14","00:30:17","2,225","2,236"
Running,2025-04-14 07:11:41,false,"Ecatepec de Morelos Running","2.30","166","00:11:29","157","179","171","177","5:00","4:38","4","2","1.17","0.0","1,964","No","00:01:22.2","3","--","--","--","--","--","--","--","--","00:11:24","00:11:29","2,225","2,236"
Running,2025-04-14 06:44:24,false,"Ecatepec de Morelos Running","2.92","218","00:19:17","135","150","160","171","6:37","5:56","10","11","0.95","0.0","3,104","No","00:06:08.9","3","--","--","--","--","--","--","--","--","00:19:05","00:19:17","2,225","2,235"
Running,2025-04-12 07:01:18,false,"Ecatepec de Morelos - Series 4, 3, 2, 1","7.21","535","00:46:01","147","170","158","194","6:23","3:43","19","19","0.98","0.0","7,370","No","00:00:01.3","15","--","--","--","--","--","--","--","--","00:45:01","00:46:01","2,225","2,236"
Running,2025-04-06 17:46:21,false,"Ecatepec de Morelos - Series 4, 3, 2, 1","6.93","518","00:46:03","149","180","156","186","6:38","3:58","19","19","0.95","0.0","7,256","No","00:00:02.6","14","--","--","--","--","--","--","--","--","00:45:01","00:46:03","2,225","2,236"
Running,2025-04-02 07:24:58,false,"Ecatepec de Morelos Running","6.77","497","00:40:14","155","178","169","179","5:57","4:50","19","19","0.99","0.0","6,812","No","00:03:56.4","7","--","--","--","--","--","--","--","--","00:40:07","00:40:14","2,225","2,235"
Running,2025-03-30 08:17:29,false,"Gustavo A Madero Running","6.66","499","00:40:02","152","178","166","175","6:00","4:59","31","29","1.00","0.0","6,656","No","00:03:30.1","7","--","--","--","--","--","--","--","--","00:39:47","00:40:02","2,225","2,244"
Running,2025-03-26 07:44:33,false,"Ecatepec de Morelos Running","6.49","496","00:40:11","155","173","167","175","6:11","4:48","36","36","0.96","0.0","6,716","No","00:02:35.6","7","--","--","--","--","--","--","--","--","00:39:57","00:40:11","2,225","2,236"
Running,2025-03-23 07:50:06,false,"Ecatepec de Morelos Running","6.48","483","00:42:49","146","159","167","197","6:37","5:30","23","22","0.91","0.0","7,146","No","00:03:12.8","7","--","--","--","--","--","--","--","--","00:42:42","00:42:49","2,225","2,235"
Running,2025-03-22 13:52:34,false,"Ecatepec de Morelos Running","1.37","103","00:09:17.7","131","142","161","169","6:47","4:57","6","4","0.91","0.0","1,502","No","00:02:29.2","2","--","--","--","--","--","--","--","--","00:09:17.2","00:09:17.7","2,229","2,235"
Running,2025-03-19 07:41:43,false,"Ecatepec de Morelos Running","5.02","363","00:32:03","152","175","166","176","6:23","5:07","7","7","0.94","0.0","5,318","No","00:00:05.3","6","--","--","--","--","--","--","--","--","00:32:02","00:32:03","2,225","2,235"
Running,2025-03-12 07:45:33,false,"Ecatepec de Morelos Running","4.56","343","00:30:06","154","181","162","178","6:36","4:05","19","18","0.93","0.0","4,904","No","00:02:36.2","5","--","--","--","--","--","--","--","--","00:29:53","00:30:06","2,225","2,239"
Running,2025-03-05 07:52:19,false,"Ecatepec de Morelos Running","1.50","106","00:09:58.4","136","152","157","169","6:38","5:28","4","2","0.96","0.0","1,600","No","00:03:36.1","2","--","--","--","--","--","--","--","--","00:09:49","00:09:58.4","2,229","2,236"
Running,2025-02-26 07:31:31,false,"Ecatepec de Morelos Running","1.44","104","00:09:36.6","140","155","163","170","6:40","5:22","5","4","0.92","0.0","1,572","No","00:02:52.1","2","--","--","--","--","--","--","--","--","00:09:31","00:09:36.6","2,229","2,236"
Indoor Cycling,2024-12-25 14:24:40,false,"Indoor Cycling","0.00","226","00:30:04","119","136","--","--","--","--","--","--","--","0.0","--","No","00:30:04","1","--","--","--","--","--","--","--","--","00:00:00","00:30:04","--","--"
Indoor Cycling,2024-12-21 14:24:55,false,"Indoor Cycling","0.00","253","00:30:02","124","143","--","--","--","--","--","--","--","0.0","--","No","00:30:02","1","--","--","--","--","--","--","--","--","00:00:00","00:30:02","--","--"
Indoor Cycling,2024-12-20 18:53:30,false,"Indoor Cycling","0.00","257","00:30:03","126","146","--","--","--","--","--","--","--","0.0","--","No","00:30:03","1","--","--","--","--","--","--","--","--","00:00:00","00:30:03","--","--"
Indoor Cycling,2024-12-19 14:04:49,false,"Indoor Cycling","0.00","261","00:30:02","126","148","--","--","--","--","--","--","--","0.0","--","No","00:30:02","1","--","--","--","--","--","--","--","--","00:00:00","00:30:02","--","--"
Indoor Cycling,2024-12-17 13:19:47,false,"Indoor Cycling","0.00","235","00:30:02","121","135","--","--","--","--","--","--","--","0.0","--","No","00:30:02","1","--","--","--","--","--","--","--","--","00:00:00","00:30:02","--","--"
Indoor Cycling,2024-12-16 20:53:09,false,"Indoor Cycling","0.00","227","00:30:02","119","146","--","--","--","--","--","--","--","0.0","--","No","00:30:02","1","--","--","--","--","--","--","--","--","00:00:00","00:30:02","--","--"
Indoor Cycling,2024-12-14 13:32:15,false,"Indoor Cycling","0.00","268","00:30:03","127","153","--","--","--","--","--","--","--","0.0","--","No","00:30:03","1","--","--","--","--","--","--","--","--","00:00:00","00:30:08","--","--"
Indoor Cycling,2024-12-10 13:45:13,false,"Indoor Cycling","0.00","199","00:28:35","116","141","--","--","--","--","--","--","--","0.0","--","No","00:28:35","1","--","--","--","--","--","--","--","--","00:00:00","00:28:35","--","--"
Indoor Cycling,2024-12-02 19:48:16,false,"Indoor Cycling","0.00","213","00:30:01","116","144","--","--","--","--","--","--","--","0.0","--","No","00:30:01","1","--","--","--","--","--","--","--","--","00:00:00","00:30:01","--","--"
